Name,CNPJ,Management Fee,Minimum Investment,Performance Fee,Portfolio Manager,Liquidity Ratios,age_months,CVM Category_Fixed Income,CVM Category_Multimarket,CVM Category_Equities,CVM Category_FX,Tax Classification_Exempt,Tax Classification_Long Term,Tax Classification_Short Term,Private Credit Anbima_Not applicable,Private Credit Anbima_Yes,Leveraged Anbima_Yes,Legal Classification_FI,Legal Classification_FIC,Performance Fee Reference Index_100% do IBX,Performance Fee Reference Index_100% do Ibovespa,Performance Fee Reference Index_Other_performance_fee,Performance Fee Reference Index_There is not,Benchmark_Dollar,Benchmark_IBX,Benchmark_IMA-B,Benchmark_Ibovespa,Benchmark_Not Informed,Benchmark_Other_Benchmark,Last_Assets,Last_Assets_date,Assets_Flow_6m,Assets_Flow_12m,Assets_Flow_24m,Average_Assets_6m,Average_Assets_12m,Average_Assets_24m,Return_6m,Return_12m,Return_24m,Volatility_6m,Volatility_12m,Volatility_24m,Excess_Return_-_CDI_Opening_6m,Excess_Return_-_CDI_Opening_12m,Excess_Return_-_CDI_Opening_24m,Excess_Return_-_Ibovespa_6m,Excess_Return_-_Ibovespa_12m,Excess_Return_-_Ibovespa_24m,Excess_Return_-_Dollar_6m,Excess_Return_-_Dollar_12m,Excess_Return_-_Dollar_24m,#_Funds_managed,Manager_avg_Assets
AAA ALLOCATION FIC MULTIMERCADO,01.353.626/0001-44,0.035,1000,0.0,Erick Espagolla Scott Hood,23,266,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,76641454.8,2019-01-31 00:00:00,-2043439.92,4810209.93,32157885.13,74770733.1,73929235.18,60841388.83,0.055830275293,0.06975071480100001,0.201654773734,0.027133843244000002,0.028510867149000002,0.035362020432,0.024342676908000002,0.005381469328,0.035005367674999996,-0.173571534316,-0.08014336181399999,-0.277594011199,0.083261099017,-0.08390589553,0.047779453819000006,2.0,75751024.645
ABSOLUTE ALPHA GLOBAL FIC MULTIMERCADO,21.983.042/0001-60,0.025,50000,0.2,Fabiano Cunha Guido Rios,13,44,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1179318698.19,2019-01-31 00:00:00,563316453.51,901450538.73,1109287828.11,825018699.97,603709840.08,340581010.41,0.040633137495,0.092219717996,0.230051390986,0.010421958763,0.014398825121,0.01973045326,0.00914553911,0.027850472523000002,0.063401984926,-0.188768672114,-0.057674358618,-0.249197393948,0.068063961218,-0.061436892334,0.07617607107,3.0,1082291242.4733334
ABSOLUTE HEDGE FIC MULTIMERCADO,18.860.059/0001-15,0.025,50000,0.2,Fabiano Cunha Guido Rios,5,64,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,432046315.64,2019-01-31 00:00:00,151092623.58,227598580.79,140757930.25,333580352.33,273010203.12,228271744.48,0.04742872979999999,0.099030272647,0.256846286248,0.027637419444,0.029857490345,0.046775090802,0.015941131415,0.034661027174,0.090196880189,-0.181973079809,-0.050863803967,-0.222402498685,0.074859553524,-0.054626337683,0.10297096633300001,3.0,1082291242.4733334
ABSOLUTE VERTEX CSHG FIC MULTIMERCADO,18.422.272/0001-45,0.025,200000,0.2,Fabiano Cunha Guido Rios,21,64,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1635508713.59,2019-01-31 00:00:00,603808091.46,932433476.75,949528663.23,1289638189.29,970516651.35,724267865.63,0.072150184928,0.154384710045,0.392461088825,0.051079459872,0.057563414139000006,0.08763429900900001,0.04066258654300001,0.090015464573,0.225811682766,-0.157251624681,0.004490633431,-0.086787696108,0.09958100865200001,0.000728099715,0.23858576891,3.0,1082291242.4733334
AC2 ALL EQUITIES FI AÇÕES,18.214.066/0001-40,0.023,1000,0.2,Paulo Eduardo Galvão Sobral,24,26,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,6837687.24,2019-01-31 00:00:00,-1443411.0,-2328431.58,449515.77,6438165.17,7857081.26,8456233.11,0.261522132042,0.038381652473,0.451968152598,0.186791312272,0.192602202334,0.16936771488600003,0.230034533657,-0.025987593000000003,0.285318746539,0.032120322433,-0.111512424141,-0.027280632335,0.288952955766,-0.115274957857,0.298092832683,2.0,10191398.98
AC2 ALL INVESTORS FI MULTIMERCADO,11.741.292/0001-30,0.019,1000,0.2,Paulo Eduardo Galvão Sobral,6,99,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,13545110.72,2019-01-31 00:00:00,-2263221.81,-8433424.62,8138465.84,14010209.12,22686942.34,15631478.09,0.043505516224,0.003825836629,0.16960968529700002,0.059082729066999996,0.05552038356,0.074702038113,0.012017917839000001,-0.060543408844,0.0029602792379999996,-0.185896293385,-0.146068239985,-0.309639099636,0.070936339948,-0.149830773701,0.015734365382,2.0,10191398.98
ACCESS HEDGE FIC MULTIMERCADO CRÉDITO PRIVADO,09.645.320/0001-73,0.04,0,0.1,Ricardo Braga,23,123,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,9845465.39,2019-01-31 00:00:00,-1379594.34,231040.78,-660389.64,10171957.36,10236081.93,9321158.84,0.060172076765,0.068165367473,0.18643177520399998,0.026089248082999998,0.028139952602,0.028300177392,0.02868447838,0.0037961220010000003,0.019782369145,-0.169229732844,-0.081728709141,-0.292817009729,0.087602900488,-0.085491242857,0.032556455289,4.0,31180059.6775
ACCESS SOBERANO FI RENDA FIXA REFERENCIADO DI,08.912.596/0001-08,0.006,0,0.0,Ricardo Braga,0,138,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1795627.38,2019-02-01 00:00:00,-3954084.44,-11398951.28,-16573203.02,4345443.58,6714690.42,10561549.97,0.024999603026999998,0.054624290314,0.15200901972,0.0036658808389999995,0.002600242571,0.002303395342,-0.006487995358,-0.009744955158,-0.014640386339,-0.204402206582,-0.0952697863,-0.327239765213,0.05243042675,-0.09903232001599999,-0.0018663001949999999,4.0,31180059.6775
ACCESS SPX NIMITZ FIC MULTIMERCADO,18.507.744/0001-62,0.024,50000,0.0,Ricardo Braga,43,65,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,6330643.23,2019-01-31 00:00:00,10845.89,14908.77,-470729.22,6508306.32,6452802.07,6195690.49,-0.024432179720999998,0.005821429621000001,0.18340052431499998,0.050636183578,0.049168944346,0.046782670652,-0.055919778106000004,-0.058547815850999996,0.016751118255999998,-0.25383398933,-0.14407264699300001,-0.295848260618,0.002998644003,-0.147835180709,0.029525204399999998,4.0,31180059.6775
ADAM MACRO 1 FIC MULTIMERCADO,24.119.419/0001-25,0.025,10000,0.2,Márcio Appel,22,33,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4113716517.11,2019-01-31 00:00:00,302973434.32,301141080.33,1414080294.52,3807138809.34,3788327931.89,3540201298.43,0.039479391322,0.0026386709400000002,0.165957329036,0.034741949389,0.059042071557,0.07622518169,0.007991792937,-0.061730574533,-0.000692077023,-0.189922418287,-0.147255405674,-0.313291455897,0.066910215046,-0.15101793939,0.012082009121,2.0,2607594003.5
