Name,CNPJ,Portfolio Manager,Last_Assets_date
AAA ALLOCATION FIC MULTIMERCADO,01.353.626/0001-44,Erick Espagolla Scott Hood,2019-01-31 00:00:00
ABSOLUTE ALPHA GLOBAL FIC MULTIMERCADO,21.983.042/0001-60,Fabiano Cunha Guido Rios,2019-01-31 00:00:00
ABSOLUTE HEDGE FIC MULTIMERCADO,18.860.059/0001-15,Fabiano Cunha Guido Rios,2019-01-31 00:00:00
ABSOLUTE VERTEX CSHG FIC MULTIMERCADO,18.422.272/0001-45,Fabiano Cunha Guido Rios,2019-01-31 00:00:00
AC2 ALL EQUITIES FI AÇÕES,18.214.066/0001-40,Paulo Eduardo Galvão Sobral,2019-01-31 00:00:00
AC2 ALL INVESTORS FI MULTIMERCADO,11.741.292/0001-30,Paulo Eduardo Galvão Sobral,2019-01-31 00:00:00
ACCESS HEDGE FIC MULTIMERCADO CRÉDITO PRIVADO,09.645.320/0001-73,Ricardo Braga,2019-01-31 00:00:00
ACCESS SOBERANO FI RENDA FIXA REFERENCIADO DI,08.912.596/0001-08,Ricardo Braga,2019-02-01 00:00:00
ACCESS SPX NIMITZ FIC MULTIMERCADO,18.507.744/0001-62,Ricardo Braga,2019-01-31 00:00:00
ADAM MACRO 1 FIC MULTIMERCADO,24.119.419/0001-25,Márcio Appel,2019-01-31 00:00:00
ADAM MACRO ADVISORY FIC MULTIMERCADO,24.078.037/0001-09,Márcio Appel,2019-01-31 00:00:00
AF INVEST GERAES FI RENDA FIXA CRÉDITO PRIVADO,09.720.734/0001-10,Pedro Lopes Sternick,2019-01-31 00:00:00
AF INVEST MINAS FI AÇÕES BDR NÍVEL I,11.209.172/0001-96,Pedro Lopes Sternick,2019-01-31 00:00:00
ALASKA BLACK II FIC AÇÕES BDR NÍVEL I,26.648.868/0001-96,Henrique Bredda,2019-01-31 00:00:00
ALASKA CASH FI RENDA FIXA CRÉDITO PRIVADO,09.510.882/0001-00,Henrique Bredda,2019-01-31 00:00:00
ALASKA RANGE FI MULTIMERCADO,13.001.211/0001-90,Henrique Bredda,2019-01-31 00:00:00
ALFA AÇÕES PREMIUM FI AÇÕES,00.575.922/0001-27,Ana Paula Soler Moreno Fachim ,2019-01-31 00:00:00
ALFA CRÉDITO PRIVADO FIC RENDA FIXA CRÉDITO PRIVADO,09.290.598/0001-75,Ana Paula Soler Moreno Fachim ,2019-01-31 00:00:00
ALFA EMPRESA FI RENDA FIXA REFERENCIADO DI,11.739.156/0001-05,Ana Paula Soler Moreno Fachim ,2019-01-31 00:00:00
ALFA FI AÇÕES,03.907.174/0001-20,Guilherme Ernesto Sand,2019-01-31 00:00:00
ALFA MIX FI RENDA FIXA LP,02.733.791/0001-94,Ana Paula Soler Moreno Fachim ,2019-01-31 00:00:00
ALFA ORBIS FI RENDA FIXA REFERENCIADO DI LP,02.733.802/0001-36,Ana Paula Soler Moreno Fachim ,2019-01-31 00:00:00
ALLOCATION FXRF FI MULTIMERCADO,11.888.379/0001-34,Manoel Evaristo Ferreira Junior,2019-01-31 00:00:00
AMAZÔNIA FI AÇÕES,17.812.153/0001-36,Diogo Lisa de Figueiredo,2019-01-31 00:00:00
AMAZÔNIA PERSONALIZADO FIC RENDA FIXA LP,08.070.814/0001-04,Alenir de Oliveira Romanello,2019-01-31 00:00:00
AMJD FI AÇÕES,18.783.169/0001-20,Alexandre Thiede Donini,2019-01-31 00:00:00
ANDBANK PERFORMANCE LIVRE FIC MULTIMERCADO,04.874.817/0001-40,Ricardo Braga,2019-01-31 00:00:00
APEX AÇÕES 30 FIC AÇÕES,15.862.830/0001-03,Fábio Spinola Vianna,2019-01-31 00:00:00
APEX EQUITIES FIC AÇÕES,21.494.427/0001-63,Fábio Spinola Vianna,2019-01-31 00:00:00
ARG I FI MULTIMERCADO,19.523.641/0001-59,Mário Alves Barbosa Filho,2019-01-31 00:00:00
ARGUCIA INCOME FI AÇÕES,07.670.115/0001-32,Felipe Carvalho da Cruz,2019-01-31 00:00:00
ARGUCIA QUARK FI MULTIMERCADO,07.810.479/0001-70,Felipe Carvalho da Cruz,2019-01-31 00:00:00
ARIA CAPITAL ALLOCATION FIC MULTIMERCADO,21.082.114/0001-06,Eduardo Vaz do Canto,2019-01-31 00:00:00
ARIA CAPITAL HEDGE FI MULTIMERCADO,17.414.721/0001-40,Eduardo Vaz do Canto,2019-01-31 00:00:00
ARTESANAL FIC MULTIMERCADO,09.625.909/0001-00,Alexandre Fontes Tamietto Galhano,2019-01-31 00:00:00
ARTESANAL FI RENDA FIXA,24.773.832/0001-09,Alexandre Fontes Tamietto Galhano,2019-02-01 00:00:00
ARX ESPECIAL FIC MULTIMERCADO,11.357.776/0001-80,Roberto David Benisti,2019-01-31 00:00:00
ARX EXTRA ACCESS FIC MULTIMERCADO,21.293.613/0001-34,Rafael de Almeida Mazzer,2019-01-31 00:00:00
ARX EXTRA FIC MULTIMERCADO,06.041.290/0001-06,Roberto David Benisti,2019-01-31 00:00:00
ARX FI AÇÕES,04.515.848/0001-04,Rogério Freitas Poppe de Figueiredo,2019-01-31 00:00:00
ARX INCOME FI AÇÕES,03.168.062/0001-03,Rogério Freitas Poppe de Figueiredo,2019-01-31 00:00:00
ARX LONG SHORT FIC MULTIMERCADO,07.158.060/0001-86,Rogério Freitas Poppe de Figueiredo,2019-01-31 00:00:00
ARX LONG TERM FIC AÇÕES,10.237.480/0001-62,Rogério Freitas Poppe de Figueiredo,2019-01-31 00:00:00
ARX TARGET INSTITUCIONAL FI MULTIMERCADO,03.369.187/0001-93,Roberto David Benisti,2019-01-31 00:00:00
