Name,CNPJ,Management Fee,Minimum Investment,Performance Fee,Portfolio Manager,Liquidity Ratios,age_months,CVM Category_Fixed Income,CVM Category_Multimarket,CVM Category_Equities,CVM Category_FX,Tax Classification_Exempt,Tax Classification_Long Term,Tax Classification_Short Term,Private Credit Anbima_Not applicable,Private Credit Anbima_Yes,Leveraged Anbima_Yes,Performance Fee Reference Index_100% do IBX,Performance Fee Reference Index_100% do Ibovespa,Performance Fee Reference Index_Other_performance_fee,Performance Fee Reference Index_There is not,Benchmark_Dollar,Benchmark_IBX,Benchmark_IMA-B,Benchmark_Ibovespa,Benchmark_Not Informed,Benchmark_Other_Benchmark,Last_Assets,Last_Assets_date,Assets_Flow_6m,Assets_Flow_12m,Assets_Flow_24m,Average_Assets_6m,Average_Assets_12m,Average_Assets_24m,Return_6m,Return_12m,Return_24m,Volatility_6m,Volatility_12m,Volatility_24m,Excess_Return_-_CDI_Opening_6m,Excess_Return_-_CDI_Opening_12m,Excess_Return_-_CDI_Opening_24m,Excess_Return_-_Ibovespa_6m,Excess_Return_-_Ibovespa_12m,Excess_Return_-_Ibovespa_24m,Excess_Return_-_Dollar_6m,Excess_Return_-_Dollar_12m,Excess_Return_-_Dollar_24m,#_Funds_managed,Manager_avg_Assets,dbsc_1,agglomerative_1,hierarchy_1,kmeans_1,kmeans_2
AAA ALLOCATION FIC MULTIMERCADO,01.353.626/0001-44,0.035,1000,0.0,Erick Espagolla Scott Hood,23,266,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,76641454.8,2019-01-31 00:00:00,-2043439.92,4810209.93,32157885.13,74770733.1,73929235.18,60841388.83,0.055830275293,0.06975071480100001,0.20165477373399998,0.027133843244,0.028510867149,0.035362020432,0.024342676908,0.005381469327999999,0.035005367675,-0.173571534316,-0.08014336181399999,-0.277594011199,0.083261099017,-0.08390589553,0.047779453819000006,2.0,75751024.645,0,2,2,0,1
ABSOLUTE ALPHA GLOBAL FIC MULTIMERCADO,21.983.042/0001-60,0.025,50000,0.2,Fabiano Cunha Guido Rios,13,44,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1179318698.19,2019-01-31 00:00:00,563316453.51,901450538.73,1109287828.11,825018699.97,603709840.08,340581010.41,0.040633137495,0.092219717996,0.230051390986,0.010421958763,0.014398825120999999,0.01973045326,0.00914553911,0.027850472523,0.06340198492600001,-0.18876867211399997,-0.057674358618,-0.249197393948,0.068063961218,-0.061436892334,0.07617607107,3.0,1082291242.4733334,0,2,2,0,1
ABSOLUTE HEDGE FIC MULTIMERCADO,18.860.059/0001-15,0.025,50000,0.2,Fabiano Cunha Guido Rios,5,64,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,432046315.64,2019-01-31 00:00:00,151092623.58,227598580.79,140757930.25,333580352.33,273010203.12,228271744.48,0.047428729799999986,0.099030272647,0.256846286248,0.027637419444,0.029857490345,0.046775090802,0.015941131415,0.034661027174,0.09019688018899999,-0.18197307980900002,-0.05086380396700001,-0.222402498685,0.074859553524,-0.054626337682999994,0.102970966333,3.0,1082291242.4733334,0,2,2,0,1
ABSOLUTE VERTEX CSHG FIC MULTIMERCADO,18.422.272/0001-45,0.025,200000,0.2,Fabiano Cunha Guido Rios,21,64,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1635508713.59,2019-01-31 00:00:00,603808091.46,932433476.75,949528663.23,1289638189.29,970516651.35,724267865.63,0.072150184928,0.15438471004499998,0.392461088825,0.051079459872,0.05756341413900001,0.08763429900900001,0.040662586543000014,0.090015464573,0.225811682766,-0.157251624681,0.004490633431,-0.086787696108,0.099581008652,0.000728099715,0.23858576891,3.0,1082291242.4733334,0,2,2,0,1
AC2 ALL EQUITIES FI AÇÕES,18.214.066/0001-40,0.023,1000,0.2,Paulo Eduardo Galvão Sobral,24,26,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,6837687.24,2019-01-31 00:00:00,-1443411.0,-2328431.58,449515.77,6438165.17,7857081.26,8456233.11,0.261522132042,0.038381652473,0.451968152598,0.18679131227200002,0.192602202334,0.16936771488600005,0.230034533657,-0.025987593000000003,0.285318746539,0.032120322433000004,-0.111512424141,-0.027280632335000003,0.288952955766,-0.11527495785700001,0.298092832683,2.0,10191398.98,1,0,1,3,6
AC2 ALL INVESTORS FI MULTIMERCADO,11.741.292/0001-30,0.019,1000,0.2,Paulo Eduardo Galvão Sobral,6,99,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,13545110.72,2019-01-31 00:00:00,-2263221.81,-8433424.62,8138465.84,14010209.12,22686942.34,15631478.09,0.043505516224,0.003825836629,0.16960968529700002,0.059082729067,0.055520383560000004,0.074702038113,0.012017917839,-0.060543408844,0.002960279238,-0.185896293385,-0.14606823998500001,-0.309639099636,0.070936339948,-0.149830773701,0.015734365382,2.0,10191398.98,0,2,2,0,1
ACCESS HEDGE FIC MULTIMERCADO CRÉDITO PRIVADO,09.645.320/0001-73,0.04,0,0.1,Ricardo Braga,23,123,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9845465.39,2019-01-31 00:00:00,-1379594.34,231040.78,-660389.64,10171957.36,10236081.93,9321158.84,0.060172076765,0.068165367473,0.186431775204,0.026089248083,0.028139952601999998,0.028300177392,0.02868447838,0.003796122001,0.019782369145,-0.169229732844,-0.081728709141,-0.292817009729,0.08760290048800001,-0.08549124285700001,0.032556455288999996,4.0,31180059.6775,0,1,4,0,1
ACCESS SOBERANO FI RENDA FIXA REFERENCIADO DI,08.912.596/0001-08,0.006,0,0.0,Ricardo Braga,0,138,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1795627.38,2019-02-01 00:00:00,-3954084.44,-11398951.28,-16573203.02,4345443.58,6714690.42,10561549.97,0.024999603027,0.054624290314,0.15200901972,0.003665880839,0.002600242571,0.002303395342,-0.006487995357999999,-0.009744955158,-0.014640386339,-0.204402206582,-0.0952697863,-0.32723976521299997,0.052430426749999995,-0.099032320016,-0.001866300195,4.0,31180059.6775,0,1,4,2,2
ACCESS SPX NIMITZ FIC MULTIMERCADO,18.507.744/0001-62,0.024,50000,0.0,Ricardo Braga,43,65,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,6330643.23,2019-01-31 00:00:00,10845.89,14908.77,-470729.22,6508306.32,6452802.07,6195690.49,-0.024432179721,0.005821429621000001,0.183400524315,0.050636183578,0.049168944346000006,0.046782670652,-0.055919778106,-0.058547815851,0.016751118255999998,-0.25383398933,-0.144072646993,-0.295848260618,0.002998644003,-0.147835180709,0.0295252044,4.0,31180059.6775,0,2,2,0,1
ADAM MACRO 1 FIC MULTIMERCADO,24.119.419/0001-25,0.025,10000,0.2,Márcio Appel,22,33,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4113716517.11,2019-01-31 00:00:00,302973434.32,301141080.33,1414080294.52,3807138809.34,3788327931.89,3540201298.43,0.039479391322,0.00263867094,0.165957329036,0.034741949389,0.059042071557,0.07622518169,0.007991792937000001,-0.061730574533,-0.000692077023,-0.189922418287,-0.147255405674,-0.31329145589699997,0.06691021504599999,-0.15101793939000002,0.012082009121000001,2.0,2607594003.5,0,2,2,0,1
